Filename, Fuzzy Messages, Total Messages, Fuzzy Words, Total Words, Achievement
l10n/po/pt_BR/_versions/2.13/guides/qute-reference.adoc.po, 650, 673, 10121, 10393, 3%
l10n/po/pt_BR/_versions/2.13/guides/resteasy-reactive.adoc.po, 410, 419, 7587, 7604, 1%
l10n/po/pt_BR/_versions/2.13/guides/security-openid-connect-web-authentication.adoc.po, 264, 283, 7482, 7613, 2%
l10n/po/pt_BR/_versions/2.13/guides/native-reference.adoc.po, 206, 207, 6136, 6139, 1%
l10n/po/pt_BR/_versions/2.13/guides/deploying-to-kubernetes.adoc.po, 292, 301, 5478, 5513, 1%
l10n/po/pt_BR/_versions/2.13/guides/maven-tooling.adoc.po, 247, 256, 5204, 5226, 1%
l10n/po/pt_BR/_versions/2.13/guides/hibernate-orm.adoc.po, 239, 250, 5029, 5115, 2%
l10n/po/pt_BR/_versions/2.13/guides/getting-started-testing.adoc.po, 188, 196, 4635, 4686, 2%
l10n/po/pt_BR/_versions/2.13/guides/security-openid-connect.adoc.po, 185, 204, 4429, 4562, 3%
l10n/po/pt_BR/_versions/2.13/guides/security-jwt.adoc.po, 254, 276, 4356, 4492, 4%
l10n/po/pt_BR/_versions/2.13/guides/cdi-reference.adoc.po, 231, 239, 4334, 4384, 2%
l10n/po/pt_BR/_versions/2.13/guides/hibernate-search-orm-elasticsearch.adoc.po, 185, 201, 3777, 3885, 3%
l10n/po/pt_BR/_versions/2.13/guides/mongodb-panache.adoc.po, 172, 181, 3766, 3834, 2%
l10n/po/pt_BR/_versions/2.13/guides/building-my-first-extension.adoc.po, 165, 176, 3448, 3527, 3%
l10n/po/pt_BR/_versions/2.13/guides/datasource.adoc.po, 257, 260, 3399, 3426, 1%
l10n/po/pt_BR/_versions/2.13/guides/cassandra.adoc.po, 141, 146, 3144, 3176, 2%
l10n/po/pt_BR/_versions/2.13/guides/resteasy.adoc.po, 139, 149, 3080, 3133, 2%
l10n/po/pt_BR/_versions/2.13/guides/security-openid-connect-dev-services.adoc.po, 100, 102, 3048, 3050, 1%
l10n/po/pt_BR/_versions/2.13/guides/security-openid-connect-client-reference.adoc.po, 132, 135, 2931, 2934, 1%
l10n/po/pt_BR/_versions/2.13/guides/hibernate-orm-panache.adoc.po, 135, 144, 2730, 2805, 3%
l10n/po/pt_BR/_versions/2.13/guides/hibernate-reactive-panache.adoc.po, 130, 138, 2696, 2752, 3%
l10n/po/pt_BR/_versions/2.13/guides/config-reference.adoc.po, 163, 167, 2682, 2688, 1%
l10n/po/pt_BR/_versions/2.13/guides/vertx-reference.adoc.po, 191, 200, 2649, 2691, 2%
l10n/po/pt_BR/_versions/2.13/guides/kafka-streams.adoc.po, 118, 131, 2632, 2754, 5%
l10n/po/pt_BR/_versions/2.13/guides/cache.adoc.po, 131, 154, 2546, 2909, 13%
l10n/po/pt_BR/_versions/2.13/guides/amqp-reference.adoc.po, 181, 212, 2513, 3076, 19%
l10n/po/pt_BR/_versions/2.13/guides/writing-native-applications-tips.adoc.po, 100, 100, 2482, 2482, 0%
l10n/po/pt_BR/_versions/2.13/guides/cdi.adoc.po, 128, 130, 2480, 2483, 1%
l10n/po/pt_BR/_versions/2.13/guides/smallrye-graphql.adoc.po, 165, 178, 2467, 2572, 5%
l10n/po/pt_BR/_versions/2.13/guides/logging.adoc.po, 219, 229, 2462, 2509, 2%
l10n/po/pt_BR/_versions/2.13/guides/security.adoc.po, 118, 140, 2453, 2680, 9%
l10n/po/pt_BR/_versions/2.13/guides/rabbitmq-reference.adoc.po, 215, 229, 2442, 2610, 7%
l10n/po/pt_BR/_versions/2.13/guides/gradle-tooling.adoc.po, 121, 127, 2416, 2430, 1%
l10n/po/pt_BR/_versions/2.13/guides/reactive-routes.adoc.po, 154, 163, 2404, 2454, 3%
l10n/po/pt_BR/_versions/2.13/guides/optaplanner.adoc.po, 121, 130, 2339, 2396, 3%
l10n/po/pt_BR/_versions/2.13/guides/http-reference.adoc.po, 179, 185, 2312, 2324, 1%
l10n/po/pt_BR/_versions/2.13/guides/infinispan-client.adoc.po, 130, 137, 2273, 2310, 2%
l10n/po/pt_BR/_versions/2.13/guides/redis-reference.adoc.po, 146, 152, 2263, 2297, 2%
l10n/po/pt_BR/_versions/2.13/guides/writing-extensions.adoc.po, 74, 606, 2164, 13149, 84%
l10n/po/pt_BR/_versions/2.13/guides/mutiny-primer.adoc.po, 126, 126, 2148, 2148, 0%
l10n/po/pt_BR/_versions/2.13/guides/mongodb.adoc.po, 99, 115, 2125, 2233, 5%
l10n/po/pt_BR/_versions/2.13/guides/extension-codestart.adoc.po, 126, 129, 2083, 2087, 1%
l10n/po/pt_BR/_versions/2.13/guides/security-webauthn.adoc.po, 85, 105, 2067, 2201, 7%
l10n/po/pt_BR/_versions/2.13/guides/jreleaser.adoc.po, 60, 63, 2060, 2066, 1%
l10n/po/pt_BR/_versions/2.13/guides/micrometer.adoc.po, 67, 78, 2046, 2110, 4%
l10n/po/pt_BR/_versions/2.13/guides/software-transactional-memory.adoc.po, 40, 45, 2024, 2034, 1%
l10n/po/pt_BR/_versions/2.13/guides/security-jwt-build.adoc.po, 109, 115, 1991, 1999, 1%
l10n/po/pt_BR/_versions/2.13/guides/security-keycloak-authorization.adoc.po, 87, 102, 1938, 2025, 5%
l10n/po/pt_BR/_versions/2.13/guides/virtual-threads.adoc.po, 62, 79, 1918, 2013, 5%
