Filename, Last modified, Upstream Last modified, Up to date
l10n/override/pt_BR/_includes/index-docs.html, 2024-02-07 22:37:25 +0000, 2024-01-12 11:16:42 +0000, OK
l10n/override/pt_BR/_includes/index-guides.html, 2023-09-19 15:48:29 +0000, 2024-01-12 11:16:42 +0000, NG
l10n/override/pt_BR/_includes/recent-posts-band.html, 2023-09-19 15:48:29 +0000, 2023-07-05 14:00:36 +0000, OK
l10n/override/pt_BR/_includes/homepage-userstory-callout.html, 2023-09-19 15:48:29 +0000, 2023-07-05 14:00:36 +0000, OK
l10n/override/pt_BR/CNAME, 2023-09-19 15:48:29 +0000, 2019-03-07 11:48:18 +0000, OK
l10n/override/pt_BR/_data/projectfooter.yaml, 2023-10-15 12:33:30 +0000, 2024-02-13 16:18:21 +0000, NG
l10n/override/pt_BR/_layouts/guides.html, 2024-02-07 22:37:25 +0000, 2024-01-09 17:48:15 +0000, OK
